"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chimere Dike","TEN","WR100","10.1","33.6","0.3","26.1","252.9","3.3","0.6","48.7"
"Theo Johnson","NYG","TE37","0.0","0.0","0.0","27.6","314.7","2.9","0.1","48.6"
"Jack Bech","LV","WR101","0.0","0.0","0.0","34.5","397.8","1.5","0.4","48.0"
"Jahan Dotson","ATL","WR102","0.0","0.0","0.0","28.7","358.2","1.9","0.2","46.5"
"Jaylin Noel","HOU","WR103","4.2","22.2","0.1","28.8","322.6","1.8","0.3","45.5"
"KaVontae Turpin","DAL","WR104","17.7","102.5","0.4","18.2","229.9","1.7","0.4","45.4"
"Christian Kirk","SF","WR105","0.0","0.0","0.0","28.6","323.0","2.1","0.0","45.1"
"Tyler Higbee","LAR","TE38","0.0","0.0","0.0","26.1","306.5","2.4","0.0","45.1"
"Savion Williams","GB","WR106","9.0","47.0","0.3","23.9","271.5","2.0","0.3","45.1"
"Luke McCaffrey","WAS","WR107","0.0","0.0","0.0","20.7","289.4","2.6","0.1","44.3"
"Pat Bryant","DEN","WR108","0.0","0.0","0.0","28.4","319.6","2.1","0.3","44.0"
"James Conner","ARI","RB67","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","RB68","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Jaylen Wright","MIA","RB69","79.9","308.0","1.5","7.2","52.0","0.1","1.2","43.3"
"Joshua Palmer","BUF","WR109","0.0","0.0","0.0","25.9","337.2","1.6","0.1","43.3"
"Darnell Washington","PIT","TE39","0.0","0.0","0.0","30.7","327.7","2.0","0.6","43.3"
"Marvin Mims Jr.","DEN","WR110","8.2","45.1","0.3","24.2","272.4","1.6","0.4","42.6"
"Dontayvion Wicks","PHI","WR111","0.0","0.0","0.0","24.3","310.0","1.8","0.3","41.2"
"Xavier Hutchinson","HOU","WR112","2.1","14.2","0.0","23.2","281.0","1.9","0.1","40.8"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","25.9","271.4","2.2","0.1","40.4"
"Calvin Austin III","NYG","WR113","0.0","0.0","0.0","20.0","268.2","2.2","0.0","40.1"
"Keon Coleman","BUF","WR114","0.0","0.0","0.0","19.4","266.0","2.3","0.2","39.7"
"Elijah Sarratt","BAL","WR115","0.0","0.0","0.0","19.5","294.6","1.8","0.2","39.7"
"Olamide Zaccheaus","ATL","WR116","1.5","9.5","0.0","30.1","277.1","1.8","0.1","39.4"
"Jawhar Jordan","HOU","RB70","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"Jahdae Walker","CHI","WR117","0.5","3.5","0.0","17.1","225.8","2.7","0.0","38.9"
"DeMario Douglas","NE","WR118","4.1","21.4","0.2","22.7","271.1","1.5","0.3","38.6"
"Nick Westbrook-Ikhine","IND","WR119","0.0","0.0","0.0","21.7","269.6","2.0","0.2","38.5"
"Ja'Tavion Sanders","CAR","TE41","0.0","0.0","0.0","29.4","264.6","2.0","0.1","38.4"
"Jaylin Lane","WAS","WR120","0.0","0.0","0.0","22.7","279.2","1.8","0.2","38.1"
"Jaydon Blue","DAL","RB71","48.7","205.0","1.5","8.8","61.8","0.4","0.2","37.7"
"Tommy Tremble","CAR","TE42","0.0","0.0","0.0","26.6","253.7","2.0","0.1","37.0"
"MarShawn Lloyd","GB","RB72","50.6","211.7","1.6","6.5","48.5","0.3","0.2","36.7"
"Cedric Tillman","CLE","WR121","0.0","-0.5","0.0","18.5","234.6","2.1","0.0","36.0"
"Noah Fant","NO","TE43","0.0","0.0","0.0","30.4","285.0","1.7","1.6","35.3"
"Will Kacmarek","MIA","TE44","0.0","0.0","0.0","26.6","250.8","1.9","0.6","35.2"
"Charlie Kolar","LAC","TE45","0.0","0.0","0.0","20.2","230.0","2.0","0.1","35.1"
"Elijah Arroyo","SEA","TE46","0.0","0.0","0.0","23.6","240.1","1.9","0.2","34.8"
"Josh Oliver","MIN","TE47","0.0","0.0","0.0","18.6","193.9","2.4","0.1","33.5"
"Isaiah Davis","NYJ","RB73","35.1","174.6","1.2","9.9","78.2","0.2","0.1","33.4"
"Austin Hooper","ATL","TE48","0.0","0.0","0.0","22.5","236.7","1.6","0.1","33.2"
"George Holani","SEA","RB74","38.9","164.2","1.5","8.0","62.2","0.3","0.2","33.1"
"Tutu Atwell","MIA","WR122","2.2","11.3","0.1","20.4","291.7","0.5","0.2","33.0"
"Daniel Bellinger","TEN","TE49","0.0","0.0","0.0","19.3","222.3","1.7","0.0","32.6"
"Erick All Jr.","CIN","TE50","0.0","0.0","0.0","26.1","228.4","1.6","0.1","32.4"
"Frank Gore Jr.","BUF","RB75","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Brock Wright","DET","TE51","0.0","0.0","0.0","19.4","175.2","2.3","0.0","31.3"
"Eli Stowers","PHI","TE52","0.0","0.0","0.0","22.7","232.5","1.5","0.6","31.2"
"Roschon Johnson","CHI","RB76","33.0","115.0","3.0","3.0","17.0","0.0","0.0","31.2"
"Demarcus Robinson","SF","WR123","0.5","2.5","0.0","15.5","219.0","1.5","0.0","31.2"
"Ollie Gordon II","MIA","RB77","49.4","202.8","1.2","3.9","27.8","0.1","0.2","30.7"
"Sean Tucker","TB","RB78","38.8","163.8","2.2","1.5","10.2","0.0","0.1","30.7"
"Kevin Coleman Jr.","MIA","WR124","0.0","0.0","0.0","21.1","270.5","0.7","0.2","30.6"
"Kyle Juszczyk","SF","RB79","4.2","10.3","0.1","23.2","202.2","1.5","0.1","30.5"
"Noah Gray","KC","TE53","0.0","0.0","0.0","21.0","211.2","1.5","0.1","29.8"
"Emmett Johnson","KC","RB80","39.7","165.1","1.3","5.2","41.1","0.2","0.1","29.3"
"Adam Trautman","DEN","TE54","0.0","0.0","0.0","19.4","194.0","1.5","0.0","28.2"
"Luke Musgrave","GB","TE55","0.0","0.0","0.0","21.7","211.6","1.2","0.0","28.1"
"Ray Davis","BUF","RB81","32.3","137.8","1.1","7.8","60.0","0.4","0.2","28.1"
"Eli Raridon","NE","TE56","0.0","0.0","0.0","18.8","195.8","1.5","0.6","27.7"
"Jonah Coleman","DEN","RB82","24.6","101.9","0.8","13.1","94.1","0.6","0.2","27.6"
"Cyrus Allen","KC","WR125","0.0","0.0","0.0","16.2","202.8","1.3","0.2","27.6"
"Skyler Bell","BUF","WR126","0.0","0.0","0.0","15.1","205.5","1.2","0.2","27.5"
"Kendrick Bourne","ARI","WR127","0.0","0.0","0.0","22.8","239.4","0.7","0.2","27.5"
"DJ Giddens","IND","RB83","33.6","141.5","1.0","8.6","56.8","0.3","0.2","27.4"
"Kalif Raymond","CHI","WR128","4.6","27.2","0.2","19.2","187.0","0.9","0.2","27.3"
"Davis Allen","LAR","TE57","0.0","0.0","0.0","16.9","157.3","1.9","0.0","26.9"
"Jordan Whittington","LAR","WR129","2.3","12.1","0.1","15.0","171.9","1.2","0.2","26.1"
