QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
,,,,,,73,SETH MCGOWAN,28.4,1.8,11.0,0.1,73,JALEN NAILOR,100,5.9,29.6,0.1,,,,,,
,,,,,,74,ISAIAH DAVIS,27.1,1.7,8.6,0.1,74,OMAR COOPER JR,99,5.8,27.3,0.2,,,,,,
,,,,,,75,DEVIN SINGLETARY,26.0,1.6,6.8,0.1,75,ANDREI IOSIVAS,96,5.6,27.0,0.1,,,,,,
,,,,,,76,TREVOR ETIENNE,23.4,1.5,7.5,0.1,76,CYRUS ALLEN,95,5.6,29.1,0.2,,,,,,
,,,,,,77,JAYLEN WRIGHT,22.9,1.4,6.8,0.1,77,ROMAN WILSON,95,5.6,26.1,0.2,,,,,,
,,,,,,78,DJ GIDDENS,21.9,1.4,6.6,0.1,78,JALEN TOLBERT,95,5.6,26.8,0.2,,,,,,
,,,,,,79,CHRIS BROOKS,21.1,1.3,5.9,0.1,79,MALACHI FIELDS,94,5.5,25.5,0.2,,,,,,
,,,,,,80,NICHOLAS SINGLETON,20.3,1.3,8.8,0.1,80,ANTONIO WILLIAMS,93,5.5,25.8,0.1,,,,,,
,,,,,,81,KIMANI VIDAL,19.4,1.2,6.6,0.1,81,TRAVIS HUNTER,92,5.4,23.7,0.2,,,,,,
,,,,,,82,MALIK DAVIS,19.1,1.2,7.0,0.1,82,ADONAI MITCHELL,89,5.3,25.4,0.1,,,,,,
,,,,,,83,JAWHAR JORDAN,18.7,1.2,7.1,0.1,83,RYAN FLOURNOY,89,5.2,24.5,0.1,,,,,,
,,,,,,84,TAHJ BROOKS,11.6,0.7,4.0,0.1,84,KEON COLEMAN,85,5.0,24.3,0.1,,,,,,
,,,,,,85,SIONE VAKI,10.5,0.7,3.9,0.0,85,JORDYN TYSON,83,4.9,22.8,0.1,,,,,,
,,,,,,86,RAHEIM SANDERS,10.4,0.6,4.7,0.0,86,TUTU ATWELL,82,4.8,24.7,0.1,,,,,,
,,,,,,87,WILL SHIPLEY,9.7,0.6,3.9,0.0,87,DARIUS SLAYTON,79,4.7,23.4,0.1,,,,,,
