RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
63,Nick Mullens,JAX,7,6,4,40,0,0,0,0,0,2.2,$0,,63,Nicholas Singleton,TEN,9,71,303,2,8,6,37,0,50.9,$0,,63,Jack Bech,LV,13,0,0,81,52,569,3,101.3,$3,,63,Marlin Klein,HOU,8,14,10,93,1,18.0,$0,$0
64,Ty Simpson,LAR,11,6,3,37,0,0,0,0,0,2.2,$0,,64,Ray Davis,BUF,7,54,247,2,11,9,71,1,49.4,$0,,64,Andrei Iosivas,CIN,6,11,0,69,47,524,4,101.2,$3,,64,Ben Sinnott,WSH,7,14,10,93,1,17.8,$0,$0
65,Tyrod Taylor,GB,11,5,3,32,0,0,0,0,0,2.0,$0,,65,Jordan James,SF,8,60,244,2,13,11,74,0,49.3,$0,,65,Denzel Boston,CLE,11,0,0,84,44,598,3,100.1,$2,,65,Drew Ogletree,IND,13,13,9,98,0,17.2,$0,$0
66,Kyle Allen,BUF,7,5,3,32,0,0,0,0,0,1.9,$0,,66,Chris Brooks,GB,11,61,252,2,12,10,67,0,49.0,$0,,66,KC Concepcion,CLE,11,28,0,80,44,571,3,100.0,$2,,66,Charlie Kolar,LAC,7,12,8,88,1,16.3,$0,$0
67,Tanner McKee,PHI,10,5,3,33,0,0,0,0,0,1.9,$0,,67,Ollie Gordon,MIA,6,82,322,2,5,4,24,0,48.1,$0,,67,Jalen Tolbert,MIA,6,0,0,71,49,567,3,99.8,$2,,67,Oscar Delp,NO,8,10,8,70,0,13.8,$0,$0
68,Zach Wilson,NO,8,0,0,0,0,0,0,0,0,0.0,$0,,68,Jonah Coleman,DEN,10,55,241,2,10,7,51,0,47.6,$0,,68,Caleb Douglas,MIA,6,0,0,73,42,583,3,95.5,$1,,68,Julian Hill,NE,11,11,8,71,0,13.5,$0,$0
69,Drew Allar,PIT,9,0,0,0,0,0,0,0,0,0.0,$0,,69,Jaydon Blue,DAL,14,50,204,1,20,13,87,0,46.3,$0,,69,Jerry Jeudy,CLE,11,0,0,83,45,554,3,95.2,$1,,69,Ben Sims,MIA,6,12,7,66,0,12.3,$0,$0
70,,,,,,,,,,,,,$0,,70,Kaelon Black,SF,8,67,268,2,5,4,25,0,42.8,$0,,70,Tre Tucker,LV,13,68,0,71,41,483,3,92.4,$0,,70,Payne Durham,TB,10,10,6,64,0,11.5,$0,$0
71,,,,,,,,,,,,,$0,,71,Demond Claiborne,MIN,6,30,129,1,22,17,112,1,41.7,$0,,71,Germie Bernard,PIT,9,27,0,77,46,490,3,91.9,$0,,71,Mo Alie-Cox,IND,13,8,5,53,0,10.2,$0,$0
72,,,,,,,,,,,,,$0,,72,Sean Tucker,TB,10,62,247,2,2,1,9,0,39.2,$0,,72,Cooper Kupp,SEA,11,0,0,63,42,508,3,90.9,$0,,72,Nate Boerkircher,JAX,7,8,5,51,0,10.1,$0,$0
73,,,,,,,,,,,,,$0,,73,Kimani Vidal,LAC,7,45,191,1,12,9,69,0,39.1,$0,,73,Ryan Flournoy,DAL,14,0,0,55,42,473,4,90.3,$0,,73,Sam Roush,CHI,10,8,5,51,0,9.4,$0,$0
74,,,,,,,,,,,,,$0,,74,Malik Davis,DAL,14,46,206,2,6,4,25,0,35.6,$0,,74,Isaac TeSlaa,DET,6,0,0,49,33,452,5,88.8,$0,,74,Jeremy Ruckert,NYJ,13,8,5,44,0,9.0,$0,$0
75,,,,,,,,,,,,,$0,,75,Trey Benson,ARI,14,46,204,1,8,6,42,0,35.4,$0,,75,Rashod Bateman,BAL,13,0,0,53,33,480,4,88.2,$0,,75,Jared Wiley,KC,5,6,4,40,0,7.7,$0,$0
76,,,,,,,,,,,,,$0,,76,LeQuint Allen,JAX,7,22,88,1,18,13,88,0,30.6,$0,,76,Jauan Jennings,MIN,6,0,0,63,41,452,3,82.8,$0,,76,Foster Moreau,HOU,8,6,4,40,0,7.4,$0,$0
77,,,,,,,,,,,,,$0,,77,Jaylen Wright,MIA,6,34,138,1,10,7,57,0,28.5,$0,,77,Darnell Mooney,NYG,8,0,0,67,37,461,3,80.5,$0,,77,Charlie Woerner,ATL,11,6,4,36,0,6.9,$0,$0
78,,,,,,,,,,,,,$0,,78,Seth McGowan,IND,13,41,168,2,3,2,12,0,28.3,$0,,78,Malik Washington,MIA,6,49,0,64,43,410,2,80.3,$0,,78,Michael Trigg,DAL,14,6,4,34,0,5.4,$0,$0
79,,,,,,,,,,,,,$0,,79,Isaiah Davis,NYJ,13,30,129,1,8,6,52,0,27.6,$0,,79,Jaylin Noel,HOU,8,24,0,63,38,417,2,78.1,$0,,79,Joe Royer,CLE,11,5,3,27,0,5.3,$0,$0
,,,,,,,,,,,,,,,80,Rasheen Ali,BAL,13,42,157,1,2,2,15,0,25.0,$0,,80,Tank Dell,HOU,8,0,0,54,34,388,3,73.2,$0,,80,Tyler Conklin,DET,6,3,2,20,0,3.7,$0,$0
,,,,,,,,,,,,,,,81,Raheim Sanders,CLE,11,43,152,1,5,3,29,0,24.4,$0,,81,Zachariah Branch,ATL,11,15,0,60,33,400,2,72.2,$0,,81,Tip Reiman,ARI,14,3,2,16,0,3.2,$0,$0
,,,,,,,,,,,,,,,82,Zach Charbonnet,SEA,11,21,89,1,8,6,45,0,22.4,$0,,82,Nick Westbrook-Ikhine,IND,13,0,0,53,31,366,3,68.7,$0,,82,Thomas Fidone,NYG,8,2,2,16,0,2.9,$0,$0
,,,,,,,,,,,,,,,83,Kendre Miller,NO,8,27,108,1,5,4,31,0,19.7,$0,,83,Olamide Zaccheaus,ATL,11,0,0,55,36,360,2,64.9,$0,,83,Ben Yurosek,MIN,6,3,2,15,0,2.8,$0,$0
,,,,,,,,,,,,,,,84,DJ Giddens,IND,13,20,80,1,8,6,36,0,18.8,$0,,84,Elijah Sarratt,BAL,13,0,0,45,26,361,3,64.3,$0,,84,Grant Calcaterra,PHI,10,2,2,13,0,2.7,$0,$0
,,,,,,,,,,,,,,,85,Eli Heidenreich,PIT,9,12,53,0,9,7,46,1,18.5,$0,,85,KaVontae Turpin,DAL,14,86,0,34,24,303,2,64.3,$0,,85,Jack Stoll,CLE,11,2,2,11,0,2.4,$0,$0
,,,,,,,,,,,,,,,86,Jeremy McNichols,WSH,7,12,50,0,10,8,57,0,17.6,$0,,86,Troy Franklin,DEN,10,0,0,46,29,332,3,62.9,$0,,86,Josh Cuevas,BAL,13,5,0,0,0,0.0,$0,$0
,,,,,,,,,,,,,,,87,Adam Randall,BAL,13,21,89,0,5,4,29,0,17.5,$0,,87,Chris Brazzell,CAR,5,0,0,48,26,328,2,60.7,$0,,87,Jack Endries,CIN,6,6,0,0,0,0.0,$0,$0
